codepoint,character,name
1FB85,🮅,UPPER THREE QUARTERS BLOCK
1FB86,🮆,UPPER SEVEN EIGHTHS BLOCK
1FB87,🮇,RIGHT ONE QUARTER BLOCK
1FB88,🮈,RIGHT THREE EIGHTHS BLOCK
1FB89,🮉,RIGHT FIVE EIGHTHS BLOCK
1FB8A,🮊,RIGHT THREE QUARTERS BLOCK
1FB8B,🮋,RIGHT SEVEN EIGHTHS BLOCK
1FB8C,🮌,LEFT HALF MEDIUM SHADE
1FB8D,🮍,RIGHT HALF MEDIUM SHADE
1FB8E,🮎,UPPER HALF MEDIUM SHADE
1FB8F,🮏,LOWER HALF MEDIUM SHADE
1FB90,🮐,INVERSE MEDIUM SHADE
1FB91,🮑,UPPER HALF BLOCK AND LOWER HALF INVERSE MEDIUM SHADE
1FB92,🮒,UPPER HALF INVERSE MEDIUM SHADE AND LOWER HALF BLOCK
1FB94,🮔,LEFT HALF INVERSE MEDIUM SHADE AND RIGHT HALF BLOCK
1FB95,🮕,CHECKER BOARD FILL
1FB96,🮖,INVERSE CHECKER BOARD FILL
1FB97,🮗,HEAVY HORIZONTAL FILL
1FB98,🮘,UPPER LEFT TO LOWER RIGHT FILL
1FB99,🮙,UPPER RIGHT TO LOWER LEFT FILL
1FB9A,🮚,UPPER AND LOWER TRIANGULAR HALF BLOCK
1FB9B,🮛,LEFT AND RIGHT TRIANGULAR HALF BLOCK
1FB9C,🮜,UPPER LEFT TRIANGULAR MEDIUM SHADE
1FB9D,🮝,UPPER RIGHT TRIANGULAR MEDIUM SHADE
1FB9E,🮞,LOWER RIGHT TRIANGULAR MEDIUM SHADE
1FB9F,🮟,LOWER LEFT TRIANGULAR MEDIUM SHADE
1FBBD,🮽,NEGATIVE DIAGONAL CROSS
1FBBE,🮾,NEGATIVE DIAGONAL MIDDLE RIGHT TO LOWER CENTRE
1FBBF,🮿,NEGATIVE DIAGONAL DIAMOND
1FBCE,🯎,LEFT TWO THIRDS BLOCK
1FBCF,🯏,LEFT ONE THIRD BLOCK
1FBE4,🯤,UPPER CENTRE ONE QUARTER BLOCK
1FBE5,🯥,LOWER CENTRE ONE QUARTER BLOCK
1FBE6,🯦,MIDDLE LEFT ONE QUARTER BLOCK
1FBE7,🯧,MIDDLE RIGHT ONE QUARTER BLOCK
1CC21,𜰡,SEPARATED BLOCK QUADRANT-1
1CC22,𜰢,SEPARATED BLOCK QUADRANT-2
1CC23,𜰣,SEPARATED BLOCK QUADRANT-12
1CC24,𜰤,SEPARATED BLOCK QUADRANT-3
1CC25,𜰥,SEPARATED BLOCK QUADRANT-13
1CC26,𜰦,SEPARATED BLOCK QUADRANT-23
1CC27,𜰧,SEPARATED BLOCK QUADRANT-123
1CC28,𜰨,SEPARATED BLOCK QUADRANT-4
1CC29,𜰩,SEPARATED BLOCK QUADRANT-14
1CC2A,𜰪,SEPARATED BLOCK QUADRANT-24
1CC2B,𜰫,SEPARATED BLOCK QUADRANT-124
1CC2C,𜰬,SEPARATED BLOCK QUADRANT-34
1CC2D,𜰭,SEPARATED BLOCK QUADRANT-134
1CC2E,𜰮,SEPARATED BLOCK QUADRANT-234
1CC2F,𜰯,SEPARATED BLOCK QUADRANT-1234
1CC40,𜱀,SPARSE HORIZONTAL FILL
1CC41,𜱁,SPARSE VERTICAL FILL
1CC42,𜱂,ORTHOGONAL CROSSHATCH FILL
1CC43,𜱃,DIAGONAL CROSSHATCH FILL
1CC44,𜱄,DENSE VERTICAL FILL
1CC45,𜱅,DENSE HORIZONTAL FILL
1CC46,𜱆,SPECKLE FILL FRAME-1
1CC47,𜱇,SPECKLE FILL FRAME-2
1CD00,𜴀,BLOCK OCTANT-3
1CD01,𜴁,BLOCK OCTANT-23
1CD02,𜴂,BLOCK OCTANT-123
1CD03,𜴃,BLOCK OCTANT-4
1CD04,𜴄,BLOCK OCTANT-14
1CD05,𜴅,BLOCK OCTANT-124
1CD06,𜴆,BLOCK OCTANT-34
1CD07,𜴇,BLOCK OCTANT-134
1CD08,𜴈,BLOCK OCTANT-234
1CD09,𜴉,BLOCK OCTANT-5
1CD0A,𜴊,BLOCK OCTANT-15
1CD0B,𜴋,BLOCK OCTANT-25
1CD0C,𜴌,BLOCK OCTANT-125
1CD0D,𜴍,BLOCK OCTANT-135
1CD0E,𜴎,BLOCK OCTANT-235
1CD0F,𜴏,BLOCK OCTANT-1235
1CD10,𜴐,BLOCK OCTANT-45
1CD11,𜴑,BLOCK OCTANT-145
1CD12,𜴒,BLOCK OCTANT-245
1CD13,𜴓,BLOCK OCTANT-1245
1CD14,𜴔,BLOCK OCTANT-345
1CD15,𜴕,BLOCK OCTANT-1345
1CD16,𜴖,BLOCK OCTANT-2345
1CD17,𜴗,BLOCK OCTANT-12345
1CD18,𜴘,BLOCK OCTANT-6
1CD19,𜴙,BLOCK OCTANT-16
1CD1A,𜴚,BLOCK OCTANT-26
1CD1B,𜴛,BLOCK OCTANT-126
1CD1C,𜴜,BLOCK OCTANT-36
1CD1D,𜴝,BLOCK OCTANT-136
1CD1E,𜴞,BLOCK OCTANT-236
1CD1F,𜴟,BLOCK OCTANT-1236
1CD20,𜴠,BLOCK OCTANT-146
1CD21,𜴡,BLOCK OCTANT-246
1CD22,𜴢,BLOCK OCTANT-1246
1CD23,𜴣,BLOCK OCTANT-346
1CD24,𜴤,BLOCK OCTANT-1346
1CD25,𜴥,BLOCK OCTANT-2346
1CD26,𜴦,BLOCK OCTANT-12346
1CD27,𜴧,BLOCK OCTANT-56
1CD28,𜴨,BLOCK OCTANT-156
1CD29,𜴩,BLOCK OCTANT-256
1CD2A,𜴪,BLOCK OCTANT-1256
1CD2B,𜴫,BLOCK OCTANT-356
1CD2C,𜴬,BLOCK OCTANT-1356
1CD2D,𜴭,BLOCK OCTANT-2356
1CD2E,𜴮,BLOCK OCTANT-12356
1CD2F,𜴯,BLOCK OCTANT-456
1CD30,𜴰,BLOCK OCTANT-1456
1CD31,𜴱,BLOCK OCTANT-2456
1CD32,𜴲,BLOCK OCTANT-12456
1CD33,𜴳,BLOCK OCTANT-3456
1CD34,𜴴,BLOCK OCTANT-13456
1CD35,𜴵,BLOCK OCTANT-23456
1CD36,𜴶,BLOCK OCTANT-17
1CD37,𜴷,BLOCK OCTANT-27
1CD38,𜴸,BLOCK OCTANT-127
1CD39,𜴹,BLOCK OCTANT-37
1CD3A,𜴺,BLOCK OCTANT-137
1CD3B,𜴻,BLOCK OCTANT-237
1CD3C,𜴼,BLOCK OCTANT-1237
1CD3D,𜴽,BLOCK OCTANT-47
1CD3E,𜴾,BLOCK OCTANT-147
1CD3F,𜴿,BLOCK OCTANT-247
1CD40,𜵀,BLOCK OCTANT-1247
1CD41,𜵁,BLOCK OCTANT-347
1CD42,𜵂,BLOCK OCTANT-1347
1CD43,𜵃,BLOCK OCTANT-2347
1CD44,𜵄,BLOCK OCTANT-12347
1CD45,𜵅,BLOCK OCTANT-157
1CD46,𜵆,BLOCK OCTANT-257
1CD47,𜵇,BLOCK OCTANT-1257
1CD48,𜵈,BLOCK OCTANT-357
1CD49,𜵉,BLOCK OCTANT-2357
1CD4A,𜵊,BLOCK OCTANT-12357
1CD4B,𜵋,BLOCK OCTANT-457
1CD4C,𜵌,BLOCK OCTANT-1457
1CD4D,𜵍,BLOCK OCTANT-12457
1CD4E,𜵎,BLOCK OCTANT-3457
1CD4F,𜵏,BLOCK OCTANT-13457
1CD50,𜵐,BLOCK OCTANT-23457
1CD51,𜵑,BLOCK OCTANT-67
1CD52,𜵒,BLOCK OCTANT-167
1CD53,𜵓,BLOCK OCTANT-267
1CD54,𜵔,BLOCK OCTANT-1267
1CD55,𜵕,BLOCK OCTANT-367
1CD56,𜵖,BLOCK OCTANT-1367
1CD57,𜵗,BLOCK OCTANT-2367
1CD58,𜵘,BLOCK OCTANT-12367
1CD59,𜵙,BLOCK OCTANT-467
1CD5A,𜵚,BLOCK OCTANT-1467
1CD5B,𜵛,BLOCK OCTANT-2467
1CD5C,𜵜,BLOCK OCTANT-12467
1CD5D,𜵝,BLOCK OCTANT-3467
1CD5E,𜵞,BLOCK OCTANT-13467
1CD5F,𜵟,BLOCK OCTANT-23467
1CD60,𜵠,BLOCK OCTANT-123467
1CD61,𜵡,BLOCK OCTANT-567
1CD62,𜵢,BLOCK OCTANT-1567
1CD63,𜵣,BLOCK OCTANT-2567
1CD64,𜵤,BLOCK OCTANT-12567
1CD65,𜵥,BLOCK OCTANT-3567
1CD66,𜵦,BLOCK OCTANT-13567
1CD67,𜵧,BLOCK OCTANT-23567
1CD68,𜵨,BLOCK OCTANT-123567
1CD69,𜵩,BLOCK OCTANT-4567
1CD6A,𜵪,BLOCK OCTANT-14567
1CD6B,𜵫,BLOCK OCTANT-24567
1CD6C,𜵬,BLOCK OCTANT-124567
1CD6D,𜵭,BLOCK OCTANT-34567
1CD6E,𜵮,BLOCK OCTANT-134567
1CD6F,𜵯,BLOCK OCTANT-234567
1CD70,𜵰,BLOCK OCTANT-1234567
1CD71,𜵱,BLOCK OCTANT-18
1CD72,𜵲,BLOCK OCTANT-28
1CD73,𜵳,BLOCK OCTANT-128
1CD74,𜵴,BLOCK OCTANT-38
1CD75,𜵵,BLOCK OCTANT-138
1CD76,𜵶,BLOCK OCTANT-238
1CD77,𜵷,BLOCK OCTANT-1238
1CD78,𜵸,BLOCK OCTANT-48
1CD79,𜵹,BLOCK OCTANT-148
1CD7A,𜵺,BLOCK OCTANT-248
1CD7B,𜵻,BLOCK OCTANT-1248
1CD7C,𜵼,BLOCK OCTANT-348
1CD7D,𜵽,BLOCK OCTANT-1348
1CD7E,𜵾,BLOCK OCTANT-2348
1CD7F,𜵿,BLOCK OCTANT-12348
1CD80,𜶀,BLOCK OCTANT-58
1CD81,𜶁,BLOCK OCTANT-158
1CD82,𜶂,BLOCK OCTANT-258
1CD83,𜶃,BLOCK OCTANT-1258
1CD84,𜶄,BLOCK OCTANT-358
1CD85,𜶅,BLOCK OCTANT-1358
1CD86,𜶆,BLOCK OCTANT-2358
1CD87,𜶇,BLOCK OCTANT-12358
1CD88,𜶈,BLOCK OCTANT-458
1CD89,𜶉,BLOCK OCTANT-1458
1CD8A,𜶊,BLOCK OCTANT-2458
1CD8B,𜶋,BLOCK OCTANT-12458
1CD8C,𜶌,BLOCK OCTANT-3458
1CD8D,𜶍,BLOCK OCTANT-13458
1CD8E,𜶎,BLOCK OCTANT-23458
1CD8F,𜶏,BLOCK OCTANT-123458
1CD90,𜶐,BLOCK OCTANT-168
1CD91,𜶑,BLOCK OCTANT-268
1CD92,𜶒,BLOCK OCTANT-1268
1CD93,𜶓,BLOCK OCTANT-368
1CD94,𜶔,BLOCK OCTANT-2368
1CD95,𜶕,BLOCK OCTANT-12368
1CD96,𜶖,BLOCK OCTANT-468
1CD97,𜶗,BLOCK OCTANT-1468
1CD98,𜶘,BLOCK OCTANT-12468
1CD99,𜶙,BLOCK OCTANT-3468
1CD9A,𜶚,BLOCK OCTANT-13468
1CD9B,𜶛,BLOCK OCTANT-23468
1CD9C,𜶜,BLOCK OCTANT-568
1CD9D,𜶝,BLOCK OCTANT-1568
1CD9E,𜶞,BLOCK OCTANT-2568
1CD9F,𜶟,BLOCK OCTANT-12568
1CDA0,𜶠,BLOCK OCTANT-3568
1CDA1,𜶡,BLOCK OCTANT-13568
1CDA2,𜶢,BLOCK OCTANT-23568
1CDA3,𜶣,BLOCK OCTANT-123568
1CDA4,𜶤,BLOCK OCTANT-4568
1CDA5,𜶥,BLOCK OCTANT-14568
1CDA6,𜶦,BLOCK OCTANT-24568
1CDA7,𜶧,BLOCK OCTANT-124568
1CDA8,𜶨,BLOCK OCTANT-34568
1CDA9,𜶩,BLOCK OCTANT-134568
1CDAA,𜶪,BLOCK OCTANT-234568
1CDAB,𜶫,BLOCK OCTANT-1234568
1CDAC,𜶬,BLOCK OCTANT-178
1CDAD,𜶭,BLOCK OCTANT-278
1CDAE,𜶮,BLOCK OCTANT-1278
1CDAF,𜶯,BLOCK OCTANT-378
1CDB0,𜶰,BLOCK OCTANT-1378
1CDB1,𜶱,BLOCK OCTANT-2378
1CDB2,𜶲,BLOCK OCTANT-12378
1CDB3,𜶳,BLOCK OCTANT-478
1CDB4,𜶴,BLOCK OCTANT-1478
1CDB5,𜶵,BLOCK OCTANT-2478
1CDB6,𜶶,BLOCK OCTANT-12478
1CDB7,𜶷,BLOCK OCTANT-3478
1CDB8,𜶸,BLOCK OCTANT-13478
1CDB9,𜶹,BLOCK OCTANT-23478
1CDBA,𜶺,BLOCK OCTANT-123478
1CDBB,𜶻,BLOCK OCTANT-578
1CDBC,𜶼,BLOCK OCTANT-1578
1CDBD,𜶽,BLOCK OCTANT-2578
1CDBE,𜶾,BLOCK OCTANT-12578
1CDBF,𜶿,BLOCK OCTANT-3578
1CDC0,𜷀,BLOCK OCTANT-13578
1CDC1,𜷁,BLOCK OCTANT-23578
1CDC2,𜷂,BLOCK OCTANT-123578
1CDC3,𜷃,BLOCK OCTANT-4578
1CDC4,𜷄,BLOCK OCTANT-14578
