codepoint,character,name
1FBAC,🮬,BOX DRAWINGS LIGHT DIAGONAL MIDDLE LEFT TO UPPER CENTRE TO MIDDLE RIGHT TO LOWER CENTRE
1FBAD,🮭,BOX DRAWINGS LIGHT DIAGONAL MIDDLE RIGHT TO UPPER CENTRE TO MIDDLE LEFT TO LOWER CENTRE
1FBAE,🮮,BOX DRAWINGS LIGHT DIAGONAL DIAMOND
1FBAF,🮯,BOX DRAWINGS LIGHT HORIZONTAL WITH VERTICAL STROKE
1FBB0,🮰,ARROWHEAD-SHAPED POINTER
1FBB1,🮱,INVERSE CHECK MARK
1FBB2,🮲,LEFT HALF RUNNING MAN
1FBB3,🮳,RIGHT HALF RUNNING MAN
1FBB4,🮴,INVERSE DOWNWARDS ARROW WITH TIP LEFTWARDS
1FBB5,🮵,LEFTWARDS ARROW AND UPPER AND LOWER ONE EIGHTH BLOCK
1FBB6,🮶,RIGHTWARDS ARROW AND UPPER AND LOWER ONE EIGHTH BLOCK
1FBB7,🮷,DOWNWARDS ARROW AND RIGHT ONE EIGHTH BLOCK
1FBB8,🮸,UPWARDS ARROW AND RIGHT ONE EIGHTH BLOCK
1FBB9,🮹,LEFT HALF FOLDER
1FBBA,🮺,RIGHT HALF FOLDER
1FBBB,🮻,VOIDED GREEK CROSS
1FBBC,🮼,RIGHT OPEN SQUARED DOT
1FBBD,🮽,NEGATIVE DIAGONAL CROSS
1FBBE,🮾,NEGATIVE DIAGONAL MIDDLE RIGHT TO LOWER CENTRE
1FBBF,🮿,NEGATIVE DIAGONAL DIAMOND
1FBC0,🯀,WHITE HEAVY SALTIRE WITH ROUNDED CORNERS
1FBC1,🯁,LEFT THIRD WHITE RIGHT POINTING INDEX
1FBC2,🯂,MIDDLE THIRD WHITE RIGHT POINTING INDEX
1FBC3,🯃,RIGHT THIRD WHITE RIGHT POINTING INDEX
1FBC4,🯄,NEGATIVE SQUARED QUESTION MARK
1FBC5,🯅,STICK FIGURE
1FBC6,🯆,STICK FIGURE WITH ARMS RAISED
1FBC7,🯇,STICK FIGURE LEANING LEFT
1FBC8,🯈,STICK FIGURE LEANING RIGHT
1FBC9,🯉,STICK FIGURE WITH DRESS
1FBCA,🯊,WHITE UP-POINTING CHEVRON
1FBCB,🯋,WHITE CROSS MARK
1FBCC,🯌,RAISED SMALL LEFT SQUARE BRACKET
1FBCD,🯍,BLACK SMALL UP-POINTING CHEVRON
1FBCE,🯎,LEFT TWO THIRDS BLOCK
1FBCF,🯏,LEFT ONE THIRD BLOCK
1FBD0,🯐,BOX DRAWINGS LIGHT DIAGONAL MIDDLE RIGHT TO LOWER LEFT
1FBD1,🯑,BOX DRAWINGS LIGHT DIAGONAL UPPER RIGHT TO MIDDLE LEFT
1FBD2,🯒,BOX DRAWINGS LIGHT DIAGONAL UPPER LEFT TO MIDDLE RIGHT
1FBD3,🯓,BOX DRAWINGS LIGHT DIAGONAL MIDDLE LEFT TO LOWER RIGHT
1FBD4,🯔,BOX DRAWINGS LIGHT DIAGONAL UPPER LEFT TO LOWER CENTRE
1FBD5,🯕,BOX DRAWINGS LIGHT DIAGONAL UPPER CENTRE TO LOWER RIGHT
1FBD6,🯖,BOX DRAWINGS LIGHT DIAGONAL UPPER RIGHT TO LOWER CENTRE
1FBD7,🯗,BOX DRAWINGS LIGHT DIAGONAL UPPER CENTRE TO LOWER LEFT
1FBD8,🯘,BOX DRAWINGS LIGHT DIAGONAL UPPER LEFT TO MIDDLE CENTRE TO UPPER RIGHT
1FBD9,🯙,BOX DRAWINGS LIGHT DIAGONAL UPPER RIGHT TO MIDDLE CENTRE TO LOWER RIGHT
1FBDA,🯚,BOX DRAWINGS LIGHT DIAGONAL LOWER LEFT TO MIDDLE CENTRE TO LOWER RIGHT
1FBDB,🯛,BOX DRAWINGS LIGHT DIAGONAL UPPER LEFT TO MIDDLE CENTRE TO LOWER LEFT
1FBDC,🯜,BOX DRAWINGS LIGHT DIAGONAL UPPER LEFT TO LOWER CENTRE TO UPPER RIGHT
1FBDD,🯝,BOX DRAWINGS LIGHT DIAGONAL UPPER RIGHT TO MIDDLE LEFT TO LOWER RIGHT
1FBDE,🯞,BOX DRAWINGS LIGHT DIAGONAL LOWER LEFT TO UPPER CENTRE TO LOWER RIGHT
1FBDF,🯟,BOX DRAWINGS LIGHT DIAGONAL UPPER LEFT TO MIDDLE RIGHT TO LOWER LEFT
1FBE0,🯠,TOP JUSTIFIED LOWER HALF WHITE CIRCLE
1FBE1,🯡,RIGHT JUSTIFIED LEFT HALF WHITE CIRCLE
1FBE2,🯢,BOTTOM JUSTIFIED UPPER HALF WHITE CIRCLE
1FBE3,🯣,LEFT JUSTIFIED RIGHT HALF WHITE CIRCLE
1FBE4,🯤,UPPER CENTRE ONE QUARTER BLOCK
1FBE5,🯥,LOWER CENTRE ONE QUARTER BLOCK
1FBE6,🯦,MIDDLE LEFT ONE QUARTER BLOCK
1FBE7,🯧,MIDDLE RIGHT ONE QUARTER BLOCK
1FBE8,🯨,TOP JUSTIFIED LOWER HALF BLACK CIRCLE
1FBE9,🯩,RIGHT JUSTIFIED LEFT HALF BLACK CIRCLE
1FBEA,🯪,BOTTOM JUSTIFIED UPPER HALF BLACK CIRCLE
1FBEB,🯫,LEFT JUSTIFIED RIGHT HALF BLACK CIRCLE
1FBEC,🯬,TOP RIGHT JUSTIFIED LOWER LEFT QUARTER BLACK CIRCLE
1FBED,🯭,BOTTOM LEFT JUSTIFIED UPPER RIGHT QUARTER BLACK CIRCLE
1FBEE,🯮,BOTTOM RIGHT JUSTIFIED UPPER LEFT QUARTER BLACK CIRCLE
1FBEF,🯯,TOP LEFT JUSTIFIED LOWER RIGHT QUARTER BLACK CIRCLE
1FBF0,🯰,SEGMENTED DIGIT ZERO
1FBF1,🯱,SEGMENTED DIGIT ONE
1FBF2,🯲,SEGMENTED DIGIT TWO
1FBF3,🯳,SEGMENTED DIGIT THREE
1FBF4,🯴,SEGMENTED DIGIT FOUR
1FBF5,🯵,SEGMENTED DIGIT FIVE
1FBF6,🯶,SEGMENTED DIGIT SIX
1FBF7,🯷,SEGMENTED DIGIT SEVEN
1FBF8,🯸,SEGMENTED DIGIT EIGHT
1FBF9,🯹,SEGMENTED DIGIT NINE
1CC00,𜰀,UP-POINTING GO-KART
1CC01,𜰁,RIGHT-POINTING GO-KART
1CC02,𜰂,LEFT-POINTING STICK FIGURE
1CC03,𜰃,RIGHT-POINTING STICK FIGURE
1CC04,𜰄,DOWN-POINTING STICK FIGURE
